Country;Name;UNLocode;Latitude;Longitude;H3_hex_8;H3_int_index_8;H3_ring;H3_res
IT;OFFSHORE_1;ITP001;44,511732;12,359708;881ea06655fffff;613028337490591743;2;8
IT;OFFSHORE_2;ITP002;44,486994;12,531443;881ea39357fffff;613028555737006079;2;8
IT;OFFSHORE_3;ITP003;43,599803;14,335723;881eae7833fffff;613029304787271679;2;8
IT;OFFSHORE_4;ITP004;43,32096;13,785407;881e85bb21fffff;613026504827207679;2;8
IT;OFFSHORE_5;ITP005;36,916622;13,821989;883f3444e5fffff;613601448734752767;2;8
IT;OFFSHORE_5;ITP005;36,916622;13,821989;883f3444e5fffff;613601448946565119;2;8
IT;OFFSHORE_6;ITP006;44,348645;12,588894;881ea3836dfffff;613028557209206783;2;8
IT;OFFSHORE_7;ITP007;44,231121;12,482804;881ea3d699fffff;613028573843816447;2;8
IT;OFFSHORE_8;ITP008;44,171042;13,113554;881ea3b99bfffff;613028566000467967;2;8
IT;OFFSHORE_9;ITP009;36,954193;14,216245;883f347415fffff;613601461625946111;2;8
IT;OFFSHORE_10;ITP010;44,391179;12,343146;881ea0653bfffff;613028337381539839;2;8
IT;OFFSHORE_11;ITP011;44,554394;12,471698;881ea029c9fffff;613028321237663743;2;8
IT;OFFSHORE_12;ITP012;44,030369;13,809339;881eaeca83fffff;613029326459240447;2;8
IT;OFFSHORE_13;ITP013;44,322576;13,407327;881ea3b58bfffff;613028564912046079;2;8
IT;OFFSHORE_14;ITP014;36,936642;13,732618;883f344731fffff;613601449567322111;2;8
IT;OFFSHORE_15;ITP015;42,207323;14,675454;881e810647fffff;613026181417009151;2;8
IT;OFFSHORE_16;ITP016;39,114236;17,181692;883f243983fffff;613600346383581183;2;8
IT;OFFSHORE_17;ITP017;44,385039;12,579063;881ea39adbfffff;613028555160289279;2;8
IT;OFFSHORE_18;ITP018;44,171864;12,714253;881ea38895fffff;613028552851324927;2;8
IT;OFFSHORE_19;ITP019;44,091609;13,741427;881eaec161fffff;613029330263474175;2;8
IT;OFFSHORE_20;ITP020;40,930188;18,327114;881e8971a1fffff;613026759977205759;2;8
IT;OFFSHORE_15;ITP015;42,207323;14,675454;881e810647fffff;613026181341511679;2;8
