row;Country;Name;UNLocode;Latitude;Longitude;H3_hex_8;H3_int_index_8;H3_ring;H3_res;type
0;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08a1fffff;613045560926011391;-1;8;green
1;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08adfffff;613045560938594303;-1;8;green
2;ITA;Genova;ITGOA;44.399822;8.924361;881f9b7249fffff;613045589287895039;-1;8;green
3;ITA;Genova;ITGOA;44.399822;8.924361;881f9b7241fffff;613045589279506431;-1;8;green
4;ITA;Genova;ITGOA;44.399822;8.924361;881f9b724dfffff;613045589292089343;-1;8;green
5;ITA;Genova;ITGOA;44.399822;8.924361;881f9b099bfffff;613045561188155391;-1;8;green
6;ITA;Genova;ITGOA;44.399822;8.924361;881f9b0999fffff;613045561186058239;-1;8;green
7;ITA;Genova;ITGOA;44.399822;8.924361;881f9b09d3fffff;613045561246875647;-1;8;green
8;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08a5fffff;613045560930205695;-1;8;green
9;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08a7fffff;613045560932302847;-1;8;green
10;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08a3fffff;613045560928108543;-1;8;green
11;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08b7fffff;613045560949080063;-1;8;green
12;ITA;Genova;ITGOA;44.399822;8.924361;881f9b725dfffff;613045589308866559;-1;8;green
13;ITA;Genova;ITGOA;44.399822;8.924361;881f9b7259fffff;613045589304672255;-1;8;green
14;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08b3fffff;613045560944885759;-1;8;green
15;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08b1fffff;613045560942788607;-1;8;green
16;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08d5fffff;613045560980537343;-1;8;green
17;ITA;Genova;ITGOA;44.399822;8.924361;881f9b088bfffff;613045560902942719;-1;8;green
18;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08c1fffff;613045560959565823;-1;8;green
19;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08edfffff;613045561005703167;-1;8;green
20;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08e9fffff;613045561001508863;-1;8;green
21;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08e1fffff;613045560993120255;-1;8;green
22;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08e3fffff;613045560995217407;-1;8;green
23;ITA;Genova;ITGOA;44.399822;8.924361;881f9b0885fffff;613045560896651263;-1;8;green
24;ITA;Genova;ITGOA;44.399822;8.924361;881f9b088dfffff;613045560905039871;-1;8;green
25;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08c7fffff;613045560965857279;-1;8;green
26;ITA;Genova;ITGOA;44.399822;8.924361;881f9b0889fffff;613045560900845567;-1;8;green
27;ITA;Genova;ITGOA;44.399822;8.924361;881f9b0881fffff;613045560892456959;-1;8;green
28;ITA;Genova;ITGOA;44.399822;8.924361;881f9b0883fffff;613045560894554111;-1;8;green
29;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08b9fffff;613045560951177215;-1;8;green
30;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08bdfffff;613045560955371519;-1;8;green
31;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08abfffff;613045560936497151;-1;8;green
32;ITA;Genova;ITGOA;44.399822;8.924361;881f9b0887fffff;613045560898748415;-1;8;green
33;ITA;Gela;ITGEA;37.065778;14.230389;883f34390dfffff;613601445771476991;-1;8;green
34;ITA;Gela;ITGEA;37.065778;14.230389;883f34396bfffff;613601445870043135;-1;8;green
35;ITA;Gela;ITGEA;37.065778;14.230389;883f343963fffff;613601445861654527;-1;8;green
36;ITA;Gela;ITGEA;37.065778;14.230389;883f343905fffff;613601445763088383;-1;8;green
37;ITA;Gela;ITGEA;37.065778;14.230389;883f343901fffff;613601445758894079;-1;8;green
38;ITA;Gela;ITGEA;37.065778;14.230389;883f343909fffff;613601445767282687;-1;8;green
39;ITA;Gela;ITGEA;37.065778;14.230389;883f343947fffff;613601445832294399;-1;8;green
40;ITA;Gela;ITGEA;37.065778;14.230389;883f343945fffff;613601445830197247;-1;8;green
41;ITA;Gela;ITGEA;37.065778;14.230389;883f343969fffff;613601445867945983;-1;8;green
42;ITA;Gela;ITGEA;37.065778;14.230389;883f343961fffff;613601445859557375;-1;8;green
43;ITA;Gela;ITGEA;37.065778;14.230389;883f343967fffff;613601445865848831;-1;8;green
44;ITA;Gela;ITGEA;37.065778;14.230389;883f343929fffff;613601445800837119;-1;8;green
45;ITA;Gela;ITGEA;37.065778;14.230389;883f34392bfffff;613601445802934271;-1;8;green
46;ITA;Gela;ITGEA;37.065778;14.230389;883f343907fffff;613601445765185535;-1;8;green
47;ITA;Gela;ITGEA;37.065778;14.230389;883f343903fffff;613601445760991231;-1;8;green
48;ITA;Gela;ITGEA;37.065778;14.230389;883f34390bfffff;613601445769379839;-1;8;green
49;ITA;Gela;ITGEA;37.065778;14.230389;883f343955fffff;613601445846974463;-1;8;green
50;ITA;Gela;ITGEA;37.065778;14.230389;883f343943fffff;613601445828100095;-1;8;green
51;ITA;Gela;ITGEA;37.065778;14.230389;883f343941fffff;613601445826002943;-1;8;green
52;ITA;Gela;ITGEA;37.065778;14.230389;883f34394dfffff;613601445838585855;-1;8;green
53;ITA;Gela;ITGEA;37.065778;14.230389;883f340c93fffff;613601433832390655;-1;8;green
54;ITA;Gela;ITGEA;37.065778;14.230389;883f340c97fffff;613601433836584959;-1;8;green
55;ITA;Gela;ITGEA;37.065778;14.230389;883f34396dfffff;613601445872140287;-1;8;green
56;ITA;Gela;ITGEA;37.065778;14.230389;883f343965fffff;613601445863751679;-1;8;green
57;ITA;Gela;ITGEA;37.065778;14.230389;883f34765bfffff;613601462227828735;-1;8;green
58;ITA;Gela;ITGEA;37.065778;14.230389;883f34392dfffff;613601445805031423;-1;8;green
59;ITA;Gela;ITGEA;37.065778;14.230389;883f343921fffff;613601445792448511;-1;8;green
60;ITA;Gela;ITGEA;37.065778;14.230389;883f343923fffff;613601445794545663;-1;8;green
61;ITA;Gela;ITGEA;37.065778;14.230389;883f34393dfffff;613601445821808639;-1;8;green
62;ITA;Gela;ITGEA;37.065778;14.230389;883f343939fffff;613601445817614335;-1;8;green
63;ITA;Gela;ITGEA;37.065778;14.230389;883f343915fffff;613601445779865599;-1;8;green
64;ITA;Gela;ITGEA;37.065778;14.230389;883f34391dfffff;613601445788254207;-1;8;green
65;ITA;Gela;ITGEA;37.065778;14.230389;883f343957fffff;613601445849071615;-1;8;green
66;ITA;Gela;ITGEA;37.065778;14.230389;883f343951fffff;613601445842780159;-1;8;green
67;ITA;Gela;ITGEA;37.065778;14.230389;883f34395dfffff;613601445855363071;-1;8;green
68;ITA;Gela;ITGEA;37.065778;14.230389;883f34394bfffff;613601445836488703;-1;8;green
69;ITA;Gela;ITGEA;37.065778;14.230389;883f343949fffff;613601445834391551;-1;8;green
70;ITA;Gela;ITGEA;37.065778;14.230389;883f343b27fffff;613601446335610879;-1;8;green
71;ITA;Gela;ITGEA;37.065778;14.230389;883f340c9bfffff;613601433840779263;-1;8;green
72;ITA;Gela;ITGEA;37.065778;14.230389;883f340c91fffff;613601433830293503;-1;8;green
73;ITA;Gela;ITGEA;37.065778;14.230389;883f340c95fffff;613601433834487807;-1;8;green
74;ITA;Gela;ITGEA;37.065778;14.230389;883f340cbbfffff;613601433874333695;-1;8;green
75;ITA;Gela;ITGEA;37.065778;14.230389;883f340cb3fffff;613601433865945087;-1;8;green
76;ITA;Gela;ITGEA;37.065778;14.230389;883f347659fffff;613601462225731583;-1;8;green
77;ITA;Gela;ITGEA;37.065778;14.230389;883f347651fffff;613601462217342975;-1;8;green
78;ITA;Gela;ITGEA;37.065778;14.230389;883f347653fffff;613601462219440127;-1;8;green
79;ITA;Gela;ITGEA;37.065778;14.230389;883f343925fffff;613601445796642815;-1;8;green
80;ITA;Gela;ITGEA;37.065778;14.230389;883f343927fffff;613601445798739967;-1;8;green
81;ITA;Gela;ITGEA;37.065778;14.230389;883f3476c9fffff;613601462343172095;-1;8;green
82;ITA;Gela;ITGEA;37.065778;14.230389;883f343935fffff;613601445813420031;-1;8;green
83;ITA;Gela;ITGEA;37.065778;14.230389;883f343931fffff;613601445809225727;-1;8;green
84;ITA;Gela;ITGEA;37.065778;14.230389;883f34393bfffff;613601445819711487;-1;8;green
