Country,Name,UNLocode,Latitude,Longitude,H3_hex_8,H3_int_index_8,H3_ring,H3_res,type
ITA,Fusina,ITFSA,45.422091,12.256319,881ea54ad1fffff,613028673701806079,-1,8,green
ITA,Genova,ITGOA,44.399822,8.924361,881f9b08a1fffff,613045560926011391,-1,8,green
ITA,Marghera,ITPMA,45.465793,12.233153,881ea54105fffff,613028671071977471,-1,8,green
ITA,Rinella,ITRIN,38.546404,14.828765,881e9bb86bfffff,613028015927984127,-1,8,green
ITA,Santa Panagia,ITSPA,37.114285,15.251981,883f350957fffff,613601501683646463,-1,8,green
ITA,Vado Ligure,ITVDL,44.264953,8.44403,881f9b4341fffff,613045576663039999,-1,8,green
ITA,Alicudi,ITALI,38.53389,14.361191,881e9b8b3dfffff,613028003800154111,-1,8,green
ITA,Amalfi,ITAMA,40.633136,14.599431,881e9d8707fffff,613028140108742655,-1,8,green
ITA,Ancona,ITAOI,43.616973,13.495666,881e859281fffff,613026493922017279,-1,8,green
ITA,Anzio,ITANZ,41.446203,12.632226,881e82b0a1fffff,613026295850205183,-1,8,green
ITA,Arbatax,ITATX,39.939487,9.701233,881e90ce65fffff,613027265913028607,-1,8,green
ITA,Barletta,ITBLT,41.330487,16.290937,881e88c18bfffff,613026712707399679,-1,8,green
ITA,Brindisi,ITBDS,40.641502,17.936303,881e8ba35bfffff,613026910762434559,-1,8,green
ITA,Calasetta,ITCLS,39.113442,8.371541000000002,883865ba9bfffff,613481702500597759,-1,8,green
ITA,Capraia,ITCPA,43.050506,9.836984,881eb0a6b3fffff,613029454280654847,-1,8,green
ITA,Capri,ITPRJ,40.556223,14.242025,881e9d993bfffff,613028144995106815,-1,8,green
ITA,Castellammare di Stabia,ITCAS,40.695559,14.477504,881e9d956bfffff,613028143971696639,-1,8,green
ITA,Cavo,ITCVX,42.859544,10.423381,881eb11a31fffff,613029485282852863,-1,8,green
ITA,Chioggia,ITCHI,45.224492,12.278226,881ea0b007fffff,613028357273026559,-1,8,green
ITA,Ciro Marina,ITMRM,39.37072,17.135114,883f2406d3fffff,613600332777259007,-1,8,green
ITA,Civitavecchia,ITCVV,42.097224,11.780849,881e86a83dfffff,613026568475770879,-1,8,green
ITA,Corigliano Calabro,ITCGC,39.663131,16.524804,883f249989fffff,613600372159676415,-1,8,green
ITA,Crotone,ITCRV,39.08615,17.130919,883f24769dfffff,613600362785406975,-1,8,green
ITA,Falconara Marittima,ITFAL,43.639201,13.385126,881e859241fffff,613026493854908415,-1,8,green
ITA,Favignana,ITFAV,37.931459,12.325533,88386d21d5fffff,613482211246604287,-1,8,green
ITA,Fiumicino,ITFCO,41.770962,12.229014,881e862e9bfffff,613026535825211391,-1,8,green
ITA,Follonica,ITFOL,42.917706,10.759547,881eb11587fffff,613029484030853119,-1,8,green
ITA,Forio,ITFRD,40.738829,13.85891,881e836225fffff,613026343501692927,-1,8,green
ITA,Formia,ITFOM,41.254758,13.6128,881e83114bfffff,613026321798266879,-1,8,green
ITA,Gaeta,ITGAE,41.216178,13.573274,881e83112dfffff,613026321766809599,-1,8,green
ITA,Gallipoli,ITGAL,40.056441,17.980105,881e8b2a27fffff,613026878227218431,-1,8,green
ITA,Gela,ITGEA,37.065778,14.230389,883f34390dfffff,613601445771476991,-1,8,green
ITA,Giannutri,ITGII,42.25429,11.104826,881e86d6d1fffff,613026580978991103,-1,8,green
ITA,Gioia Tauro,ITGIT,38.446597,15.902643,883f26c6b9fffff,613600521728557055,-1,8,green
ITA,Gorgona,ITGOR,43.430812,9.907464,881eb57087fffff,613029783336386559,-1,8,green
ITA,Grado,ITGRD,45.683412,13.377758,881ea520cdfffff,613028662423322623,-1,8,green
ITA,Imperia,ITIMP,43.885356,8.041238,881eb48a4bfffff,613029721533317119,-1,8,green
ITA,Isola del Giglio,ITIDG,42.36076,10.920368,881eb16c5bfffff,613029507338600447,-1,8,green
ITA,La Maddalena,ITMDA,41.21195297764209,9.406709073835344,881e948431fffff,613027520872185855,-1,8,green
