,imo,mmsi,callsign,latitude,longitude,vessel_name,vessel_type,source,dt_pos_utc,sog,cog,heading,H3_int_index_8
135,9706592,247388800.0,IBTI,43.29666667,9.67833333,ROSA DEI VENTI,Cargo,S-AIS,2021-10-01 00:00:03,15.0,16.0,0.0,613029786209484799
283,9706592,247388800.0,IBTI,43.30833333,9.68333333,ROSA DEI VENTI,Cargo,S-AIS,2021-10-01 00:03:03,16.0,14.0,0.0,613029786165444607
284,9706592,247388800.0,IBTI,43.32166667,9.68666667,ROSA DEI VENTI,Cargo,S-AIS,2021-10-01 00:06:03,16.0,13.0,0.0,613029785917980671
70,9706592,247388800.0,IBTI,43.33333333,9.69166667,ROSA DEI VENTI,Cargo,S-AIS,2021-10-01 00:09:07,16.0,13.0,0.0,613029785913786367
133,9706592,247388800.0,IBTI,43.34666667,9.695,ROSA DEI VENTI,Cargo,S-AIS,2021-10-01 00:12:07,16.0,14.0,0.0,613029785884426239
132,9706592,247388800.0,IBTI,43.37536667,9.70511667,ROSA DEI VENTI,Cargo,T-AIS,2021-10-01 00:18:52,15.6,13.9,17.0,613029785957826559
69,9706592,247388800.0,IBTI,43.4184,9.7199,ROSA DEI VENTI,Cargo,T-AIS,2021-10-01 00:29:04,15.7,15.0,16.0,613029771544100863
22,9706592,247388800.0,IBTI,43.42333333,9.72166667,ROSA DEI VENTI,Cargo,S-AIS,2021-10-01 00:30:11,16.0,15.0,0.0,613029784038932479
202,9706592,247388800.0,IBTI,43.46,9.735,ROSA DEI VENTI,Cargo,S-AIS,2021-10-01 00:39:10,15.0,14.0,0.0,613029784074584063
240,9706592,247388800.0,IBTI,43.46915,9.73768333,ROSA DEI VENTI,Cargo,T-AIS,2021-10-01 00:41:10,15.4,13.4,16.0,613029784070389759
167,9706592,247388800.0,IBTI,43.47333333,9.73833333,ROSA DEI VENTI,Cargo,S-AIS,2021-10-01 00:42:08,15.0,15.0,0.0,613029784078778367
89,9706592,247388800.0,IBTI,43.5026,9.74905,ROSA DEI VENTI,Cargo,T-AIS,2021-10-01 00:49:15,15.4,13.7,16.0,613029755702214655
163,9706592,247388800.0,IBTI,43.51,9.75166667,ROSA DEI VENTI,Cargo,S-AIS,2021-10-01 00:51:15,15.0,15.0,0.0,613029755698020351
122,9706592,247388800.0,IBTI,43.51955,9.7548,ROSA DEI VENTI,Cargo,T-AIS,2021-10-01 00:53:21,15.3,16.3,18.0,613029755706408959
91,9706592,247388800.0,IBTI,43.52333333,9.75666667,ROSA DEI VENTI,Cargo,S-AIS,2021-10-01 00:54:12,15.0,17.0,0.0,613029755450556415
237,9706592,247388800.0,IBTI,43.535,9.76166667,ROSA DEI VENTI,Cargo,S-AIS,2021-10-01 00:57:12,16.0,16.0,0.0,613029755454750719
121,9706592,247388800.0,IBTI,43.5439,9.7643,ROSA DEI VENTI,Cargo,T-AIS,2021-10-01 00:59:15,15.5,15.6,18.0,613029755515568127
19,9706592,247388800.0,IBTI,43.54666667,9.765,ROSA DEI VENTI,Cargo,S-AIS,2021-10-01 01:00:13,15.0,17.0,0.0,613029755515568127
200,9706592,247388800.0,IBTI,43.57166667,9.775,ROSA DEI VENTI,Cargo,S-AIS,2021-10-01 01:06:16,16.0,16.0,0.0,613029755490402303
123,9706592,247388800.0,IBTI,43.585,9.78,ROSA DEI VENTI,Cargo,S-AIS,2021-10-01 01:09:17,15.0,16.0,0.0,613029756006301695
20,9706592,247388800.0,IBTI,43.59666667,9.785,ROSA DEI VENTI,Cargo,S-AIS,2021-10-01 01:12:17,15.0,18.0,0.0,613029756010495999
275,9706592,247388800.0,IBTI,43.61773333,9.79328333,ROSA DEI VENTI,Cargo,T-AIS,2021-10-01 01:17:10,15.5,16.0,18.0,613029755974844415
162,9706592,247388800.0,IBTI,43.62166667,9.795,ROSA DEI VENTI,Cargo,S-AIS,2021-10-01 01:18:21,16.0,16.0,0.0,613029753571508223
196,9706592,247388800.0,IBTI,43.62683333,9.79681667,ROSA DEI VENTI,Cargo,T-AIS,2021-10-01 01:19:22,15.5,15.8,18.0,613029753571508223
235,9706592,247388800.0,IBTI,43.64666667,9.805,ROSA DEI VENTI,Cargo,S-AIS,2021-10-01 01:24:18,16.0,14.0,0.0,613029753537953791
16,9706592,247388800.0,IBTI,43.66856667,9.81283333,ROSA DEI VENTI,Cargo,T-AIS,2021-10-01 01:29:27,15.2,20.6,24.0,613029753602965503
