row;H3_hex_8;H3_int_index_8
0;881e9baa2dfffff;613028012104876031
1;881e8360c1fffff;613026343128399871
2;883949ac1dfffff;613497366651076607
3;881eb1512bfffff;613029500040511487
4;881e9a21ebfffff;613027906808971263
5;881eb19013fffff;613029516926779391
6;881e9d98dbfffff;613028144894443519
7;883f340881fffff;613601432739774463
8;883949ac11fffff;613497366638493695
9;881e92d711fffff;613027405679820799
10;881f9b7463fffff;613045589852028927
11;881eb1901dfffff;613029516937265151
12;881ea3c4ddfffff;613028569024561151
13;881e8340e7fffff;613026334578311167
14;883f2499d3fffff;613600372237271039
15;881e8828b1fffff;613026671676620799
16;883949ac03fffff;613497366623813631
17;881e94850bfffff;613027521100775423
18;881eb19015fffff;613029516928876543
19;881ea3c6b7fffff;613028569521586175
20;881e86a827fffff;613026568452702207
21;881e836337fffff;613026343789002751
22;881e836215fffff;613026343484915711
23;881eb11189fffff;613029482959208447
24;881e836233fffff;613026343516372991
25;881f9b7485fffff;613045589887680511
26;881eb498abfffff;613029725392076799
27;881eb19019fffff;613029516933070847
28;881ea3c6e7fffff;613028569571917823
29;881e88c1dbfffff;613026712791285759
30;88386d2e47fffff;613482214587367423
31;881eb11a0bfffff;613029485243006975
32;881e961141fffff;613027627457839103
33;881e86a911fffff;613026568698068991
34;881e94a80dfffff;613027530498113535
35;881e9baa2bfffff;613028012102778879
36;881e9baa21fffff;613028012092293119
37;881e86a825fffff;613026568450605055
38;88386d2639fffff;613482212425203711
39;883f268739fffff;613600504682905599
40;881e86a91bfffff;613026568708554751
41;883f2499d1fffff;613600372235173887
42;883949ac15fffff;613497366642687999
43;881e9a21abfffff;613027906741862399
44;881e90c0a7fffff;613027262224138239
45;881ea32d33fffff;613028528312549375
46;88386d384dfffff;613482217278013439
47;881e8b2829fffff;613026877692444671
48;88386d2627fffff;613482212406329343
49;881e831103fffff;613026321722769407
50;881eb11a63fffff;613029485335281663
51;883f3408e3fffff;613601432842534911
52;88386d2631fffff;613482212416815103
53;881e83113dfffff;613026321783586815
54;881e8360cdfffff;613026343140982783
55;88386d2635fffff;613482212421009407
56;881e86a919fffff;613026568706457599
57;881e92d71dfffff;613027405692403711
58;881e92d63bfffff;613027405455425535
59;881eb115b5fffff;613029484079087615
60;881e92d757fffff;613027405753221119
